gallery_number,gallery_name,department,floor,wing,latitude,longitude
1,Romanesque Hall ,,1,,40.865016753,-73.931823128
2,Fuentidueña Chapel,,1,,40.865134132,-73.931695125
3,Saint-Guilhem Cloister (The Cloisters),,1,,40.865137904,-73.931762367
4,Langon Chapel (The Cloisters),,1,,40.865071046,-73.932017361
6,Pontaut Chapter House (The Cloisters),,1,,40.864965819,-73.932048409
7,Cuxa Cloister (The Cloisters),,1,,40.864857994,-73.932025477
8,Early Gothic Hall (The Cloisters),,1,,40.864851967,-73.932101909
9,Gothic Chapel (The Cloisters),,G,,40.864718082,-73.932168068
10,Glass Gallery (The Cloisters),,G,,40.864710233,-73.931957064
11,Gallery 011,,G,,40.86458638,-73.932061597
12,Trie Cloister (The Cloisters),,G,,40.86454021,-73.931836895
13,Treasury (The Cloisters),,G,,40.864637995,-73.931697916
14,Treasury (The Cloisters),,G,,40.864720034,-73.931721181
16,Boppard Room (The Cloisters),,1,,40.864673582,-73.931780712
17,Unicorn Tapestries Room (The Cloisters),,1,,40.864698651,-73.931915524
18,Nine Heroes Tapestries Room (The Cloisters),,1,,40.864737167,-73.932053713
19,Merode Room (The Cloisters),,1,,40.864715454,-73.931684697
20,Late Gothic Hall (The Cloisters),,1,,40.86484146,-73.931687993
100,The Entrance to the Art of Ancient Egypt,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779530879,-73.962610951
101,Predynastic and Early Dynastic Egypt ,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779444022,-73.962525077
102,Tomb Chapel (mastaba) of Raemkai ,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779552838,-73.962535606
103,The Old Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779673018,-73.962358092
104,The Beginning of the Middle Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779870921,-73.96221378
105,The Tomb of Meketre,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779919675,-73.96204547
106,The Early Middle Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.77981525,-73.962082173
107,The Early Middle Kingdom Gallery,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779962835,-73.962146752
108,From the Pyramid Complex of King Amenemhat I at Lisht North,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780024653,-73.962101673
109,The Middle Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780110818,-73.962112087
110,From the Pyramid Temple of King Senwosret I at Lisht South,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779985176,-73.961997707
111,The Middle Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780093793,-73.9619185
112,Burials from the Site of Meir,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780083315,-73.962058895
113,Life and Death in Middle Kingdom Egypt,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780141014,-73.962016819
114,Early New Kingdom Tombs from the Asasif,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780190255,-73.961980911
115,Statues of the Female King Hatshepsut,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.78022696,-73.961821389
116,Private Burials of Early Dynasty 18,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780290966,-73.961907469
117,The Early New Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780227547,-73.961953716
118,The Burials of Foreign Wives of Thutmose III,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780335257,-73.962012575
119,The Time of Amenhotep III,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780367048,-73.96208803
120,"Objects from Malqata, the Festival-City of Amenhotep III",Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780387519,-73.962177669
121,Akhenaten and the Amarna Period,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780288043,-73.962145641
122,The Late New Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.78025158,-73.962059105
123,Monumental and Temple Art from around 1200-600 B.C.,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780242065,-73.9622511
124,The Art of the Ramesside Period,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.78021888,-73.962196076
125,The Third Intermediate Period and Kushite Art,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780164459,-73.962235762
126,Decorated Coffins from Thebes,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780140195,-73.962182517
127,The Art of the Late Period,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780108868,-73.9622763
128,The Last Egyptian Pharaohs,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780048887,-73.962350974
129,Reliefs from a Temple of Ramesses I,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780120291,-73.962513405
130,The First Millennium Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780175629,-73.962543772
131,The Temple of Dendur,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780415607,-73.962503158
132,Temporary Exhibition Space for Departmental Rotations,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.780009325,-73.962257085
133,Funerary Equipment of the Ptolemaic Period,,1,,40.779975285,-73.962404646
134,The Art of Ptolemaic Egypt,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779893098,-73.962464579
135,Facsimiles of Ancient Egyptian Tomb Paintings,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779757354,-73.962563564
136,Egyptian Art Special Exhibition Space,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779712792,-73.962521096
137,Egypt under Roman Rule in the First Century AD,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779623326,-73.962661299
138,Egypt under Roman Rule in the Second to Fourth Centuries AD,Lila Acheson Wallace Galleries of Egyptian Art,1,,40.779530486,-73.962728999
150,Cycladic Art,,1,,40.778873821,-73.963055299
151,Cycladic Art,,1,,40.778924584,-73.963175673
152,Greek Art: Seventh–Sixth Century B.C.,The Robert and Renée Belfer Court,1,,40.778841514,-73.962978521
153,Greek Art: Sixth–Fourth Century B.C.,Mary and Michael Jaharis Gallery,1,,40.778646382,-73.963220373
154,Greek Art: Sixth Century B.C.,Judy and Michael H. Steinhardt Gallery,1,,40.778732688,-73.963057874
155,Greek Art: Sixth Century B.C.,The Bothmer Gallery I,1,,40.77881576,-73.963255024
156,Greek Art: Fifth Century B.C.,"The Carolyn, Kate, Elizabeth, Thomas, and Jonathan Wiener Gallery",1,,40.778615203,-73.963143543
157,Greek Art: Fifth Century B.C.,The Bothmer Gallery II,1,,40.778698275,-73.963340695
158,Greek Art: Fourth Century B.C.,Spyros and Eurydice Costopoulos Gallery,1,,40.778496841,-73.963229851
159,Greek Art: Fifth–Early Fourth Century B.C.,Stavros and Danaë Costopoulos Gallery,1,,40.778579913,-73.963427003
160,Hellenistic Sculpture and Architecture: Third–First Century B.C.,Leon Levy and Shelby White Court and Galleries,1,,40.778396943,-73.963285349
161,South Italian Art: Fourth–First Century B.C.,The Lamont Wing,1,,40.778502998,-73.963483088
162,Leon Levy and Shelby White Court,Leon Levy and Shelby White Court and Galleries,1,,40.778288825,-73.963639258
163,Hellenistic Treasury: Third–First Century B.C.,The Lamont Wing,1,,40.778346132,-73.963164757
164,Hellenistic Art: Third Century B.C.–First Century A.D.,Tarsi and John Georgas Family Gallery,1,,40.778235637,-73.963269533
165,The Cubiculum Nocturnum,The Lamont Wing,1,,40.77815611,-73.963324614
166,Art of Augustan Rome: Late First Century B.C.–First Century A.D.,Sylvia Josephs Berger and Joyce Berger Cowin Gallery,1,,40.778094974,-73.963372105
167,The Black Room: Late First Century B.C.,The Lamont Wing,1,,40.778032346,-73.963416057
168,Art of Imperial Rome: Second Century A.D.,The Lamont Wing,1,,40.777956206,-73.963473291
169,Art of the Later Roman Empire: Third Century A.D.,John A. and Carole O. Moran Gallery,1,,40.778046331,-73.963687182
170,Etruscan Art: Ninth–Second Century B.C.,Leon Levy and Shelby White Court and Galleries,1M,,40.778052725,-73.963697006
171,Cycladic Art,,1M,,40.778005674,-73.963440983
172,Special Exhibitions,,1M,,40.778346132,-73.963164757
173,Prehistoric Art from Cyprus: Seventh Millennium–ca. 1000 B.C.,The Norbert Schimmel Gallery,2,,40.778734998,-73.963348624
174,Archaic Art from Cyprus: ca. 1000–ca. 480 B.C.,,2,,40.778618927,-73.963433261
175,Classical Art from Cyprus: ca. 480–ca. 310 B.C.,A.G. Leventis Foundation Gallery,2,,40.778487844,-73.963492945
176,The Jake and Nancy Hamon Gallery,Jake and Nancy Hamon Gallery,2,,40.778444972,-73.963390806
200,Chinese Ceramics & More!,,2,,40.779262161,-73.963184305
