gallery_number,gallery_name,department,floor,summary,latitude,longitude,is_closed,lm_id
1,Romanesque Hall ,,1,Gallery 1,40.865016753,-73.931823128,False,11ce9c90237a0cb74d5ae792b4240451
1,Romanesque Hall ,,1,Gallery 1,40.865016753,-73.931823128,False,11ce9c90237a0cb74d5ae792b4240451
1,Romanesque Hall ,,1,Gallery 1,40.865016753,-73.931823128,False,11ce9c90237a0cb74d5ae792b4240451
1,Romanesque Hall ,,1,Gallery 1,40.865016753,-73.931823128,False,11ce9c90237a0cb74d5ae792b4240451
1,Romanesque Hall ,,1,Gallery 1,40.865016753,-73.931823128,False,11ce9c90237a0cb74d5ae792b4240451
1,Romanesque Hall ,,1,Gallery 1,40.865016753,-73.931823128,False,11ce9c90237a0cb74d5ae792b4240451
1,Romanesque Hall ,,1,Gallery 1,40.865016753,-73.931823128,False,11ce9c90237a0cb74d5ae792b4240451
2,Fuentidueña Chapel,,1,Gallery 2,40.865134132,-73.931695125,False,dcc8bc5d66022647050a7107ae36c015
2,Fuentidueña Chapel,,1,Gallery 2,40.865134132,-73.931695125,False,dcc8bc5d66022647050a7107ae36c015
2,Fuentidueña Chapel,,1,Gallery 2,40.865134132,-73.931695125,False,dcc8bc5d66022647050a7107ae36c015
2,Fuentidueña Chapel,,1,Gallery 2,40.865134132,-73.931695125,False,dcc8bc5d66022647050a7107ae36c015
2,Fuentidueña Chapel,,1,Gallery 2,40.865134132,-73.931695125,False,dcc8bc5d66022647050a7107ae36c015
2,Fuentidueña Chapel,,1,Gallery 2,40.865134132,-73.931695125,False,dcc8bc5d66022647050a7107ae36c015
2,Fuentidueña Chapel,,1,Gallery 2,40.865134132,-73.931695125,False,dcc8bc5d66022647050a7107ae36c015
3,Saint-Guilhem Cloister (The Cloisters),,1,Gallery 3,40.865137904,-73.931762367,False,ed87a6201213a2fe8b11ad8dc23a5030
3,Saint-Guilhem Cloister (The Cloisters),,1,Gallery 3,40.865137904,-73.931762367,False,ed87a6201213a2fe8b11ad8dc23a5030
3,Saint-Guilhem Cloister (The Cloisters),,1,Gallery 3,40.865137904,-73.931762367,False,ed87a6201213a2fe8b11ad8dc23a5030
3,Saint-Guilhem Cloister (The Cloisters),,1,Gallery 3,40.865137904,-73.931762367,False,ed87a6201213a2fe8b11ad8dc23a5030
3,Saint-Guilhem Cloister (The Cloisters),,1,Gallery 3,40.865137904,-73.931762367,False,ed87a6201213a2fe8b11ad8dc23a5030
3,Saint-Guilhem Cloister (The Cloisters),,1,Gallery 3,40.865137904,-73.931762367,False,ed87a6201213a2fe8b11ad8dc23a5030
3,Saint-Guilhem Cloister (The Cloisters),,1,Gallery 3,40.865137904,-73.931762367,False,ed87a6201213a2fe8b11ad8dc23a5030
4,Langon Chapel (The Cloisters),,1,Gallery 4,40.865071046,-73.932017361,False,fd0c8830c6c5c50dfd6fdfad9494dbb6
4,Langon Chapel (The Cloisters),,1,Gallery 4,40.865071046,-73.932017361,False,fd0c8830c6c5c50dfd6fdfad9494dbb6
4,Langon Chapel (The Cloisters),,1,Gallery 4,40.865071046,-73.932017361,False,fd0c8830c6c5c50dfd6fdfad9494dbb6
4,Langon Chapel (The Cloisters),,1,Gallery 4,40.865071046,-73.932017361,False,fd0c8830c6c5c50dfd6fdfad9494dbb6
4,Langon Chapel (The Cloisters),,1,Gallery 4,40.865071046,-73.932017361,False,fd0c8830c6c5c50dfd6fdfad9494dbb6
4,Langon Chapel (The Cloisters),,1,Gallery 4,40.865071046,-73.932017361,False,fd0c8830c6c5c50dfd6fdfad9494dbb6
4,Langon Chapel (The Cloisters),,1,Gallery 4,40.865071046,-73.932017361,False,fd0c8830c6c5c50dfd6fdfad9494dbb6
6,Pontaut Chapter House (The Cloisters),,1,Gallery 6,40.864965819,-73.932048409,False,41bb41636ac9806ad303d2c37edf5696
6,Pontaut Chapter House (The Cloisters),,1,Gallery 6,40.864965819,-73.932048409,False,41bb41636ac9806ad303d2c37edf5696
6,Pontaut Chapter House (The Cloisters),,1,Gallery 6,40.864965819,-73.932048409,False,41bb41636ac9806ad303d2c37edf5696
6,Pontaut Chapter House (The Cloisters),,1,Gallery 6,40.864965819,-73.932048409,False,41bb41636ac9806ad303d2c37edf5696
6,Pontaut Chapter House (The Cloisters),,1,Gallery 6,40.864965819,-73.932048409,False,41bb41636ac9806ad303d2c37edf5696
6,Pontaut Chapter House (The Cloisters),,1,Gallery 6,40.864965819,-73.932048409,False,41bb41636ac9806ad303d2c37edf5696
6,Pontaut Chapter House (The Cloisters),,1,Gallery 6,40.864965819,-73.932048409,False,41bb41636ac9806ad303d2c37edf5696
7,Cuxa Cloister (The Cloisters),,1,Gallery 7,40.864857994,-73.932025477,False,a71856a9b80c37fd89a0aa30daaff40f
7,Cuxa Cloister (The Cloisters),,1,Gallery 7,40.864857994,-73.932025477,False,a71856a9b80c37fd89a0aa30daaff40f
7,Cuxa Cloister (The Cloisters),,1,Gallery 7,40.864857994,-73.932025477,False,a71856a9b80c37fd89a0aa30daaff40f
7,Cuxa Cloister (The Cloisters),,1,Gallery 7,40.864857994,-73.932025477,False,a71856a9b80c37fd89a0aa30daaff40f
7,Cuxa Cloister (The Cloisters),,1,Gallery 7,40.864857994,-73.932025477,False,a71856a9b80c37fd89a0aa30daaff40f
7,Cuxa Cloister (The Cloisters),,1,Gallery 7,40.864857994,-73.932025477,False,a71856a9b80c37fd89a0aa30daaff40f
7,Cuxa Cloister (The Cloisters),,1,Gallery 7,40.864857994,-73.932025477,False,a71856a9b80c37fd89a0aa30daaff40f
8,Early Gothic Hall (The Cloisters),,1,Gallery 8,40.864851967,-73.932101909,False,2ecd3b9724732c815d59eb49d0ab798b
8,Early Gothic Hall (The Cloisters),,1,Gallery 8,40.864851967,-73.932101909,False,2ecd3b9724732c815d59eb49d0ab798b
8,Early Gothic Hall (The Cloisters),,1,Gallery 8,40.864851967,-73.932101909,False,2ecd3b9724732c815d59eb49d0ab798b
8,Early Gothic Hall (The Cloisters),,1,Gallery 8,40.864851967,-73.932101909,False,2ecd3b9724732c815d59eb49d0ab798b
8,Early Gothic Hall (The Cloisters),,1,Gallery 8,40.864851967,-73.932101909,False,2ecd3b9724732c815d59eb49d0ab798b
8,Early Gothic Hall (The Cloisters),,1,Gallery 8,40.864851967,-73.932101909,False,2ecd3b9724732c815d59eb49d0ab798b
8,Early Gothic Hall (The Cloisters),,1,Gallery 8,40.864851967,-73.932101909,False,2ecd3b9724732c815d59eb49d0ab798b
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
12,Trie Cloister (The Cloisters),,G,Gallery 12,40.86454021,-73.931836895,False,afbd467215a725d5f1a3d2cab3b54791
12,Trie Cloister (The Cloisters),,G,Gallery 12,40.86454021,-73.931836895,False,afbd467215a725d5f1a3d2cab3b54791
